1	1	147 2.0i	2,000	2	1,487,000	1,487,000	1,487,000
1	2	156 2.0i 	2,000	2	1,294,000	1,294,000	1,294,000
1	3	156 PLATINO 	2,000	2	3,109,000	3,109,000	3,109,000
1	4	156 SPECIAL II 	2,000	2	2,039,000	2,039,000	2,039,000
1	5	156 SPORTPACK 	2,000	2	0	0	0
1	6	159 2.2 JTS 	2,200	2	3,690,000	3,690,000	3,690,000
1	7	159 SPORTWAGON 2.2 JTS	2,200	2	3,890,000	3,890,000	3,890,000
1	8	BRERA 2.2 JTS	2,200	2	4,890,000	4,890,000	4,890,000
1	9	GT 2.0 JTS 	2,000	2	3,900,000	3,900,000	3,900,000
1	10	SPIDER 2.2 CONVERTIBLE 	2,200	2	5,139,000	5,139,000	5,139,000
2	11	DB9  	6,000	1	0	0	0
2	12	DB9 5.9 CONVERTIBLE 	6,000	1	0	0	0	
2	13	DBS  	6,000	1	0	0	0
2	14	V8 VANTAGE 	4,300	1	0	0	0
2	15	V8 VANTAGE ROADSTER 	4,300	1	0	0	0
2	16	VANQUIT VANQUIT 	6,000	1	0	0	0
3	17	A3  	1,800	2	1,188,000	1,188,000	1,188,000
3	18	A4  	1,800	2	2,890,000	2,890,000	2,890,000
3	19	A4 TDI 	2,000	2	3,050,000	3,050,000	3,050,000
3	20	A5  	2,000	2	3,990,000	3,990,000	3,990,000
3	21	A6 2.0 TURBO PSI 	2,000	2	3,890,000	3,890,000	3,890,000
3	22	A6 2.4 EXECUTIVE 	2,400	2	4,334,000	4,334,000	4,334,000
3	23	A6 3.0 QUATTRO 	3,000	2	5,590,000	5,590,000	5,590,000
3	24	A6 AVANT 2.0 TURBO PSI 	2,000	2	4,150,000	4,150,000	4,150,000
3	25	A8  	4,200	2	7,590,000	7,590,000	7,590,000
3	26	Q5 2.0 TFSi 	2,000	2	3,490,000	3,490,000	3,490,000
3	27	Q5 2.0 TFSi QUATTRO 	2,000	2	3,590,000	3,590,000	3,590,000
3	28	Q7 AMBITION 	3,000	2	6,850,000	6,850,000	6,850,000
3	29	Q7 AMBITION SPORT 	3,000	2	6,776,000	6,776,000	6,776,000
3	30	Q7 COMFORT 	3,000	2	5,775,000	5,775,000	5,775,000
3	31	Q7 PREMIUM 	3,000	2	7,286,000	7,286,000	7,286,000
3	32	TT COUPE 2.0 	2,000	2	4,698,000	4,698,000	4,698,000
3	33	TT COUPE 1.8 	1,800	2	1,333,000	1,333,000	1,333,000
4	34	55 AMG  	5,400	2	1,374,000	1,374,000	1,374,000
4	35	A160  	1,000	2	1,200,000	1,200,000	1,200,000
4	36	A170	1,700	2	1,600,000	1,600,000	1,600,000
4	37	A190	1,900	2	1,643,000	1,643,000	1,643,000
4	38	A200	2,000	2	1,870,000	1,870,000	1,870,000
4	39	B180  CDI Sport Tourer 	2,000	2	2,799,000	2,799,000	2,799,000
4	40	C180 KOMPRESSOR 	1,800	2	2,920,000	2,920,000	2,920,000
4	41	C200 KOMPRESSOR 	2,000	2	2,469,000	2,469,000	2,469,000
4	42	C200 KOMPRESSOR AVANTGARDE 	2,000	2	2,899,000	2,899,000	2,899,000
4	43	C200 KOMPRESSOR ELEGANCE CKD 	2,000	2	2,699,000	2,699,000	2,699,000
4	44	C220 	2,200	2	1,880,000	1,880,000	1,880,000
4	45	C230 2.5 AVANTGARDE Sports AMG CKD 	2,300	2	3,549,000	3,549,000	3,549,000
4	46	C240 	2,400	2	2,370,000	2,370,000	2,370,000
4	47	CL500 	5,500	2	0	0	0
